"Status","Name","Duration in ms","Description"
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Api\InvoiceRepositoryInterface""","0",""
"passed","JSCS.app/code/Magento/Checkout/view/frontend/web/js/model/cart/totals-processor/default.js","0",""
"passed","JSCS.app/code/Magento/Fedex/view/frontend/web/js/model/shipping-rates-validator.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Framework\Exception\Plugin\AuthenticationException""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\PageCache\Model\Config""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Eav\Model\Entity\Attribute\Group""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Backup\Model\Config\Source\Type""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Sales/view/adminhtml/layout/sales_order_transactions.xml""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Api\Data\TransactionInterface""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Reports\Model\Product\Index\AbstractIndex""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\OfflineShipping\Model\Carrier\Tablerate""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Integration\Model\Oauth\Consumer""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Swatches/view/adminhtml/layout/catalog_product_attribute_edit_popup.xml""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Block\Order\Item\Renderer\DefaultRenderer""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Framework\Data\Tree""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\AsynchronousOperations\Api\Data\DetailedBulkOperationsStatusInterface""","0",""
"passed","JSCS.app/code/Magento/Catalog/view/adminhtml/web/js/components/dynamic-rows-import-custom-options.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\AsynchronousOperations\Api\Data\OperationSearchResultsInterface""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Sales/view/adminhtml/layout/sales_order_create_load_block_search_grid.xml""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Paypal\Block\Adminhtml\Billing\Agreement\View\Tabs""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Framework\View\Element\BlockInterface""","1",""
"passed","JSCS.app/code/Magento/ProductVideo/view/adminhtml/requirejs-config.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Paypal\Block\Bml\Banners""","1",""
"passed","JSCS.app/code/Magento/Braintree/view/frontend/web/js/paypal/button_shopping_cart.js","0",""
"passed","Magento\Test\Integrity\ConfigTest.testPaymentMethods","8",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Downloadable\Helper\File""","0",""
